university;study_programme
University of Newcastle-upon-Tyne;Marketing and Management
University of Oxford;Physics
University of Bradford;International Business Management
University of Bradford;Pharmacy MPharm
University of Cambridge;Law
University of Manchester;Portuguese Studies
University of Bradford;International Legal Studies
University of Edinburgh;Management of Training and Development
University of Dundee;Energy Studies with Specialisation in Energy Policy
University of Essex;Mathematics for Secondary Teaching (including Year Abroad)
University Campus Suffolk;Early Learning (non-honours progression route)
University of Southampton;Film Studies
University of Oxford;Literature and Arts
London South Bank University;Petroleum Engineering
University of Essex;Management with Mathematics
University of Birmingham;Occupational and Environmental Medicine and By Research
Southampton Solent University;Fashion
University of Greenwich;Landscape Design
University of East Anglia;Environmental Sciences with a Year in Europe
University of Essex;European Union Law
Brunel University Uxbridge;Computer Systems Engineering
University of Oxford;History
University of Southampton;Computer Science
University of Kent at Canterbury;Classical and Archaeological Studies and French
London School of Economics and Political Science;Politics and Philosophy
Coventry University;Accounting and Finance
University of Aberdeen;Criminal Justice and Human Rights
University of London;Crusader Studies
University of Kent at Canterbury;Classical and Archaeological Studies and Drama
Manchester Metropolitan University;Psychology
University of Cambridge;Land Economy
University College London;Dental Public Health
University of Nottingham;Public Health
University of Birmingham;International Relations Joint Honours
University of York;Political Philosophy
Metropolitan University;Psychology of Health
University of London;Project Management (Pharmaceuticals and Biotechnology Pathway)
London South Bank University;International Accounting and Finance
University of Greenwich;Primary Education with Qualified Teacher Status (QTS)
University of Essex;Accounting and Finance
University of Oxford;Mathematics and Philosophy
Sheffield Hallam University;Public Rights of Way and Countryside Access Management
School of Oriental and African Studies;Anthropology of Food
University of Essex;Modern History (including Year Abroad)
University of Strathclyde;Business and Information Technology Systems
The Queen's University Belfast;Environmental Engineering
University of Manchester;Refinery Design and Operation
University of Aberdeen;Church History
University of Kent at Canterbury;Applied Psychology with Clinical Psychology
London School of Economics and Political Science;Economics and Finance
University of East Anglia;Modern Languages Spanish
Liverpool John Moores University;Screen
University of Oxford;Philosophy and Theology
University of Oxford;International Wildlife Conservation Practice
Bournemouth University;Marketing
University of Westminster;Project Management
University of Edinburgh;Regenerative Medicine: Clinical and Industrial Delivery
Bournemouth University;Business and Management Top-up
The Queen's University Belfast;Computer Games Development (Sandwich)
University of Northumbria at Newcastle;Psychology
University College London;Integrated Photonic and Electronic Systems
University of Bradford;Financial Management
University of Lancaster;Media and Cultural Studies
University College London;Habilitation and Disabilities of Sight Children and Young People
Napier University;Intercultural Business Communication
University of Kent at Canterbury;Computer Systems Engineering including a Foundation Year
University of Greenwich;Games and Entertainment Systems Software Engineering
University of Kent at Canterbury;German and Philosophy
University of Central Lancashire;Education and History
University of Essex;English Language, Language Acquisition and Language Disorders (including Year Abroad)
University of Manchester;Occupational Medicine
University of Sheffield;Chemistry (Synthesis Cluster)
University of Reading;Chemical Research
University of Oxford;Global Business
University of Southampton;Creative Writing
Southampton Solent University;Human Resource Management
University of Essex;Cognitive Neuropsychology
University of Birmingham;Inclusion and Special Educational Needs
The University of Buckingham;Economics and International Studies
Imperial College London;Conservation Science
The Queen's University Belfast;Computer Games Development
Imperial College London;Photonics
University of Manchester;Chemical Engineering with Industrial Experience
University College London;Religious Education
University of Manchester;Clinical Rheumatology
Kingston University;Professional Practice (Design)
School of Oriental and African Studies;Korean Literature
University of Birmingham;English Literature
Coventry University;Law
University of Warwick;Finance
The Queen's University Belfast;English (Creative Writing)
University of Reading;Accounting and International Management
University of Sunderland;Finance
Cardiff University;River Catchment Ecology
University of Hertfordshire;Global Business
University College London;Mathematics with Management Studies
University of Glasgow;Public Policy and Management
Anglia Ruskin University;Early Childhood Studies
Kingston University;Aircraft Engineering
Queen Mary University of London;Astronomy and Astrophysics
Napier University;Drug Design and Biomedical Science
Coventry University;Disaster Management
University of Kent at Canterbury;Ancient History
University of Sussex;Genetics
University of Dundee;Mathematics and Economics
Durham University;Sociology
University of Southampton;Sustainable Energy Technologies
University of East Anglia;Humanities and Law
London School of Economics and Political Science;Politics and International Relations
The Queen's University Belfast;Computer Science
University of Essex;English Language and Literature
University of Birmingham;International Money and Banking
University of Cambridge;Radiology
Metropolitan University;International Commercial Law
Falmouth University;PhD
University of Essex;Computer Science (including foundation year)
Imperial College London;Biological Sciences
University College London;Urban Planning Design and Management
Brunel University Uxbridge;Sport and Exercise Psychology
University of Greenwich;Business Studies (Year 3, Direct Entry)
University of Manchester;War, Culture and History
University of Lincoln;Computer Science
University of Kent at Canterbury;Law and Criminology
University of Bradford;Law
University of Southampton;Operational Research and Finance
Southampton Solent University;Events Management
Coventry University;Marketing
University of Birmingham;Clinical Criminology
University of Greenwich;Extended Computer Systems and Software Engineering
University of East Anglia;Modern Languages with International Development Studies
University of Bradford;Optometry
University of Birmingham;Hydrogen, Fuel Cells and Their Applications with Integrated Study
The University of Buckingham;History and Economics
University of Cambridge;Future Infrastructure and Built Environment
University of Leeds;Health Data Analytics
University of Edinburgh;Digital Education
University of Abertay Dundee;Research (School of Computing and Engineering Systems)
University of Dundee;Business Economics with Marketing
Coventry University;International Business Management
University of Dundee;English
University College London;Built Environment — Sustainable Heritage
Bournemouth University;Business Studies with Finance
Liverpool John Moores University;Law
Queen Mary University of London;Applied Linguistics for English Language Teaching
The Queen's University Belfast;Advanced Mechanical Engineering
University of Birmingham;French Studies
The University of Buckingham;Psychology
University of Southampton;Archaeological Computing (Spatial Technologies)
University of Birmingham;Electronic, Electrical and Computing Engineering (Biomedical Informatics Specialism)
University of Dundee;History and International Relations
Bournemouth University;Forensic Investigation
Durham University;Music
Coventry University;Business Management
University of Kent at Canterbury;Accounting and Finance
University of York;Computer Science with Artificial Intelligence
Bournemouth University;Events Marketing
University of Sheffield;English
Metropolitan University;Computing
Imperial College London;Geology
University of Sunderland;Mass Communications
The University of Buckingham;Psychology with Business and Management
University of Kent at Canterbury;French and Religious Studies
University College London;Economics with a Year Abroad
Brunel University Uxbridge;Neurorehabilitation
Kingston University;Business Administration
London School of Economics and Political Science;Mathematics and Economics
University of Dundee;English and Film Studies
University of Edinburgh;Sustainable Resource Management
Cardiff University;Architectural Science
University of Leicester;Security and Risk Management
University of Dundee;History and Politics
Southampton Solent University;Magazine Journalism and Feature Writing
University of Bradford;Business and Management
University of Kent at Canterbury;Art History and German
University of Essex;Literature and Myth
University College London;German
London School of Economics and Political Science;International Employment Relations and Human Resource Management
University of Oxford;Teacher Education
University of Birmingham;International Marketing
University of Surrey;Civil Engineering
University of Essex;History and Literature (including Year Abroad)
University of Essex;Financial Economics
University of East Anglia;Law with European Legal Systems
University of Oxford;Law and Finance
University of Surrey;Business Analytics
Bournemouth University;Design Business Management
Glasgow Caledonian University;Higher Education in Business
University of Stirling;Health and Wellbeing of the Older Person
University of Greenwich;International Criminology
University of Greenwich;Philosophy and History Hons
University of East Anglia;Biological and Medicinal Chemistry
University of Warwick;Global Education and International Development
University of Manchester;Orthodontics
University of Nottingham;Research Methods Public Policy and Management
University of Stirling;Law
University College London;British Heart Foundation Cardiovascular Biomedicine
University of Wales;Glaciology
University of Birmingham;Clinical Oncology and Nursing
University of Nottingham;Research Methods (Sociology)
University of Wales;Social Archaeology
Kingston University;IT and Strategic Innovation
University College London;Central and East European History and Jewish Studies
University of East Anglia;Translation and Interpreting with Japanese and French (Double Degree)
University College London;Statistics Economics and a Language
University of London;International Primary Health Care
School of Oriental and African Studies;International Management (Middle East and North Africa)
Chelsea College of Art and Design;Interior and Spatial Design
University of Surrey;Entrepreneurship
Bournemouth University;Accounting and Taxation
University of St. Andrews;Ecosystem-based Management of Marine Systems
University of Central Lancashire;Economics
University of York;Computer Science with Embedded Systems
University of London;Sustainability and Management
University of Glasgow;Community Learning and Development
London School of Economics and Political Science;Environmental Policy with Economics
University of Essex;Law and Philosophy
The University of Buckingham;Law with English Language Studies
Coventry University;International Relations
Imperial College London;Optics and Photonics
University of Bath;Social Work
Coventry University;Multimedia Computing
University of Oxford;World Literatures in English
University of Oxford;English 1830-1914
University of Birmingham;International Economics
University Campus Suffolk;Design
The Queen's University Belfast;Politics, Philosophy and Economics
University of Sussex;Human-Computer Interaction
Online Business School;Leadership and Team Working, University 1st and 2nd Year (Level 4 and 5)
Bournemouth University;Management with Project Management
London School of Economics and Political Science;Political Theory
Bournemouth University;Games Technology
University of East Anglia;Translation, Media and French
The Queen's University Belfast;Economics
University of Stirling;Media, Humanities and Social Sciences
University of Bradford;Virtual and Augmented Reality
University of Kent at Canterbury;Positive Behaviour Support
The University of Buckingham;Economics with EFL and ESL
Kingston University;Engineering Projects and Systems Management
Chelsea College of Art and Design;Graphic Design
University of Dundee;European Philosophy with Spanish
The University of Buckingham;International Studies
University of East Anglia;Psychology
University of York;Mathematical Finance
Kingston University;International Finance with Business English
University of Nottingham;Technology
University of Southampton;Electronic Engineering with Computer Systems
Imperial College London;Physics with Theoretical Physics
Imperial College London;Mathematics and Finance
University of Sussex;Gender Studies (Social Sciences)
University of Manchester;Teaching and Learning
University of Manchester;Nuclear Science and Technology
University of Central Lancashire;Finance and Development with CIMA
University of Ulster;Marine Spatial Planning
Imperial College London;Chemistry
University of Cambridge;History and Philosophy of Science and Medicine
Aston University;Information Systems and Business Analysis
University of Surrey;Interpreting
University of Manchester;Biological Sciences
University of Essex;International Economics
University of Essex;Accounting with Economics (including Year Abroad)
Loughborough University;International Management (Conversion)
Sheffield Hallam University;Business and Management Programme
University College London;East European Studies
King's College London;Epilepsy
University of Essex;Philosophy, Politics and Economics (including Year Abroad)
University of Lancaster;Ethics, Philosophy and Religion
Imperial College London;Cardio-Respiratory Nursing
University of Leeds;Microbiology
University of Oxford;Child Development and Education
University of London;Producing Film and Television
University of Oxford;Statistics
Cardiff University;Ancient and Medieval Warfare
Brunel University Uxbridge;Finance and Accounting
University of Birmingham;International Relations with a Language
Durham University;Philosophy
University of Southampton;Corporate and Commercial Law
University of East Anglia;History and Politics
Durham University;Politics
University of East Anglia;Social Work
The University of Buckingham;Psychology with English Literature
University College London;Architectural Design
University of Exeter;Tourism, Development and Policy
The University of Buckingham;Accounting with Spanish
Glasgow Caledonian University;Networked Systems Engineering
University of Greenwich;Electronic Engineering
The Queen's University Belfast;Mathematics
Southampton Solent University;Multimedia Journalism
Sheffield Hallam University;International Hospitality and Tourism Management
University of Birmingham;Shakespeare and Education
University of Greenwich;English Language and English Language Teaching (ELT)
The Queen's University Belfast;Learning Disability Nursing
London School of Economics and Political Science;Gender, Development and Globalisation
University of Glasgow;Ecology and Environmental Biology
University of Essex;History and Literature (including foundation year)
University of Hertfordshire;International Tourism and Hospitality Management
University of Glasgow;Adult and Continuing Education
King's College London;Analytical Science for Industry
University of York;Communications Engineering
Coventry University;Finance
University College London;Industrial Organisational and Business Psychology
University of Edinburgh;Competition Law and Innovation
University of Abertay Dundee;Research (Dundee Business School)
University of Stirling;Computing for Business
Bournemouth University;Business Studies with Human Resource Management
The Queen's University Belfast;Computer Games Development
Cardiff University;Race, Representation and Cultural Politics Group
University of Lancaster;Cyber Security
University of Oxford;Astrophysics
University of East Anglia;Climate Science with a Year in North America
University of Oxford;Social Intervention
University of Southampton;Management Science and Finance
Coventry University;Disaster Management and Emergency Planning
London School of Economics and Political Science;Human Resource Management and Employment Relations
Kingston University;Historic Building Conservation
University of Lincoln;International Business
University of Oxford;English 1550-1700
University of Leicester;Education
The University of Buckingham;Computing
University of Sunderland;Biomedical Science
Durham University;Theology and Religion
University of Greenwich;International Business with Language
University of Oxford;English 1700-1830
University of Oxford;Intellectual Property Law and Practice
University of London;Practising Sustainable Development
London School of Economics and Political Science;Economic History with Economics
University Campus Suffolk;Business Management and Psychology
The Queen's University Belfast;Software and Electronic Systems Engineering (sandwich)
Liverpool John Moores University;Electrical Power and Control Engineering
University of Sussex;Gender Studies (Humanities)
Anglia Ruskin University;Legal Practice
Kingston University;Sustainable Place Making and Urban Design
University of Birmingham;African Studies
University of Greenwich;Civil Engineering with Water and Environment Management
University Campus Suffolk;Criminology and Youth Studies
University of Nottingham;Public Administration
Metropolitan University;Public Service Interpreting (Health and Legal)
The University of Buckingham;Computing with Communication Studies
The Queen's University Belfast;Actuarial Science and Risk Management
University of Kent at Canterbury;English and Italian Law
University of Greenwich;History and Politics
University of Central Lancashire;Criminal Investigation
University of Gloucestershire;Accounting and Finance
Glasgow Caledonian University;Electrical, Electronic and Energy Engineering
Imperial College London;Research Programme
University of Sunderland;Criminology
Brunel University Uxbridge;Civil Engineering
Coventry University;Finance and Investment
University of Glasgow;Advanced Community Development
University College London;International Programme of Statistical Science
Bournemouth University;Industrial Design
University of Glasgow;Clinical Psychology
The Queen's University Belfast;Human Rights and Criminal Justice
Napier University;Creative Writing
University of Leeds;Sustainable Energy Systems
University of York;Coastal and Marine Archaeology
University of Leeds;Mathematics
Middlesex University;Theatre Arts
University of Greenwich;Electronic Engineering
University of Cambridge;Theoretical and Applied Linguistics
University of Kent at Canterbury;Comparative Literature, History and Philosophy of Art
University of Leeds;Sustainability (Environment and Development)
Brunel University Uxbridge;Sport, Health and Exercise Sciences
University of Glasgow;International Finance and Economic Policy
The Queen's University Belfast;Economics and Accounting
Coventry University;Environmental Health
University of Kent at Canterbury;German and Religious Studies
University of East Anglia;International Relations and Modern Languages
University of Greenwich;Business by Research
University of Birmingham;Classical Literature and Civilisation
London School of Economics and Political Science;Gender and Social Policy
University of Surrey;Engineering, Science and Mathematics Foundation (International Foundation Year)
King's College London;Advanced Practice (Cancer Nursing)
University of Greenwich;Business with Finance
Brunel University Uxbridge;Mechanical and Energy Engineering
University of Kent at Canterbury;History and Philosophy of Art and Drama
Napier University;Biotechnology
Coventry University;Spanish
London School of Economics and Political Science;Economics and Management
University College London;Economy State and Society — Politics and the International Economy
London School of Economics and Political Science;Financial Mathematics
University of York;Medieval Studies
University of Kent at Canterbury;Religious Studies and Drama
University of Oxford;Sleep Medicine
University of Manchester;Cell Biology
University of Edinburgh;Corporate Law
University of Leicester;Modern Literature (and Creative Writing)
University of Sunderland;Psychology
Durham University;Socio-Cultural Anthropology
School of Oriental and African Studies;Finance (Major: Economic Policy)
University of East Anglia;History of Art
University College London;Information Studies
University of Greenwich;Project Management
University of York;Finance
University of Sunderland;Accounting and Finance
Bangor University;Environmental Management
University of Essex;Accounting
The University of Buckingham;Computing (3-year)
University of York;And Computer Systems and Software Engineering
University of Leeds;General Studies
Bournemouth University;Sport Development and Coaching Sciences
London School of Economics and Political Science;International Relations
University of Oxford;History of Design
Chelsea College of Art and Design;Graphic Design
University of East Anglia;American and English Literature
University of Cambridge;Archaeology
Arden University;Data Analytics and Marketing
University of Dundee;Adult Nursing
University of Dundee;Economic Studies
University of Kent at Canterbury;English and American Literature and Creative Writing with an Approved Year Abroad
University of Southampton;Engineering Acoustics
University of Dundee;Interior and Environmental Design
Bournemouth University;Information Technology Management
University of Oxford;Social Anthropology
King's College London;Modern History
University of Greenwich;Economics
University of Essex;Genetics
University of Birmingham;Political Science Joint Honours
University of Oxford;European and Middle Eastern Languages
The Queen's University Belfast;Software Engineering
University of Essex;Political Science
University of Kent at Canterbury;Biomedical Science
Brunel University Uxbridge;English
Liverpool John Moores University;Cities, Culture and Creativity
School of Oriental and African Studies;Social Anthropology of Development
The Queen's University Belfast;Structural Engineering with Architecture
University College London;French
University of Bradford;Internet of Things (IoT)
Brunel University Uxbridge;Communication and Media Studies
University of Kent at Canterbury;Social Anthropology and Economics
Royal Holloway and Bedford New College;Creative Writing
University of Stirling;Applied Social Research (Criminology)
University of Manchester;Primary Care
University of Manchester;Medieval and Renaissance Studies
University of Southampton;International Foundation Year (IFY) — Integrated with Law, Arts, Humanities, Management and Social Sciences
The Queen's University Belfast;Computer Science (Sandwich)
University of Dundee;Renewable Energy
The University of Buckingham;Economics with Spanish
University of Dundee;International Business with E-commerce
University of Kent at Canterbury;Philosophy and Social Anthropology
Brunel University Uxbridge;Business and Management
Brunel University Uxbridge;Occupational Therapy (Pre-Registration)
Coventry University;Construction Management
University of Greenwich;Extended Engineering Business Management
University College London;Ancient History
University of Oxford;Clinical Neurosciences
University of Bradford;Human Resource Management
Imperial College London;Nuclear Engineering
University of Leeds;Technology, Education and Learning
University of Leeds;Electrical Engineering and Renewable Energy Systems
Brunel University Uxbridge;Electronic and Computer Engineering
Bournemouth University;Business Studies with Economics
University of Oxford;Archaeology
University College London;Civil Engineering
Metropolitan University;International Public Health Nutrition
Southampton Solent University;Personnel and Development
The Queen's University Belfast;Risk and Investment Management
University of Dundee;Digital Interaction Design
University of Greenwich;Mathematics with Economics
Coventry University;Criminology and Psychology
University of Surrey;Satellite Communications Engineering
University of Dundee;Business Economics with Marketing and Psychology
Coventry University;Quantity Surveying and Commercial Management
The University of Buckingham;Business and Management
University of Manchester;Clinical Biochemistry
University of Exeter;International Management
Bournemouth University;Public Health
Coventry University;Interior Design
The Queen's University Belfast;Software and Electronic Systems Engineering
University of Greenwich;Computing with Digital Media Hons
University of Kent at Canterbury;Electronic and Communications Engineering with a Year in Industry
London School of Economics and Political Science;Environment and Development
University of Kent at Canterbury;International Business with a Year in Industry
Sheffield Hallam University;Accounting and Finance
University of Birmingham;Earth Sciences
Bournemouth University;Software Development for Animation, Games and Effects
University of Southampton;Sound and Vibration Studies
Kingston University;Advanced Practice (Healthcare)
Brunel University Uxbridge;Economics and Business Finance
Royal Holloway and Bedford New College;Data Science and Analytics
University of Edinburgh;Religious Studies
University College London;Economics and Business with East European Studies with a Year Abroad
University College London;French and Francophone Studies Language Culture and History
Coventry University;French and International Relations
University of Kent at Canterbury;Financial Economics with Econometrics
Brunel University Uxbridge;Games Design and Creative Writing
University of Greenwich;Public Relations and Communications
University of Greenwich;Safeguarding Children and Young People
University of Oxford;Computer Science
University of Bradford;International Strategic Marketing
Bournemouth University;Innovation Management and Entrepreneurship
University of Glasgow;Development Studies
University of Kent at Canterbury;European Arts (History and Philosophy of Art)
University of Kent at Canterbury;Computer Science (Consultancy)
University of Essex;Philosophy and History (including Year Abroad)
University of Kent at Canterbury;German and History
University College London;History and Politics of the Americas with a Year Abroad
School of Oriental and African Studies;African Politics
Coventry University;Motorsport Engineering
University of Essex;Psychodynamic Approaches
University College London;Applied Paediatric Neuropsychology
University College London;Developmental Neuroscience and Psychopathology
University of Kent at Canterbury;Film with a Placement Year
Imperial College London;Mathematics with Applied Mathematics and Mathematical Physics
University of Essex;Entrepreneurship and Innovation
University of Greenwich;Business Administration Hons
University of Greenwich;Advertising and Marketing Communications
University of Essex;Criminology and the Media
University of Sussex;Gender Studies
University of Edinburgh;Sound Design
Imperial College London;Mind reading
University of Kent at Canterbury;English and French Law
University of Edinburgh;Animation
University of Oxford;Computer Science and Philosophy
University of Oxford;Comparative and International Education
University of Southampton;Electronic Engineering
University of Glasgow;Educational Studies
University of Greenwich;Childhood Studies
University of Southampton;Marine Technology
University of Reading;Advanced Computer Science
University of Essex;Economics with Spanish (including Year Abroad)
University Campus Suffolk;Business Management with Finance
University of Sunderland;Business and Marketing Management
University of Sunderland;Computer Science
Imperial College London;Biochemistry with French for Science
University College London;Politics Sociology and East European Studies
Cardiff University;Clinical Investigation and Visual Sciences
University of Sunderland;Sport and Exercise Sciences
University of Greenwich;Economics with Languages
University of Greenwich;Professional Practice Health and Social Care
Glasgow Caledonian University;International Project Management
Imperial College London;Surgical Education
University of Dundee;Economics with Spanish
University of East Anglia;Mathematics and Actuarial Sciences
University of Dundee;Philosophy (+MA)
Coventry University;Criminology
University of Dundee;Politics with Spanish
University of Kent at Canterbury;English, American and Postcolonial Literature and Film
University of Kent at Canterbury;Physics
University College London;Viking and Old Norse Studies
University of Greenwich;Landscape Management (Land Use)
University College London;History of Education
Bangor University;Business and Marketing
University of York;Social Research
University of Essex;Philosophy, Religion and Ethics
University of Essex;Modern History and Politics (including Year Abroad)
Imperial College London;Bioimaging Sciences
University College London;History and Philosophy of Science
University of Greenwich;History
University of Cambridge;Construction Engineering
University of Hull;Petroleum, Oil and Gas: Chemical Engineering Technologies
University of York;Philosophy
Imperial College London;Advanced Chemical Engineering with Biotechnology
University of Essex;Film and Creative Writing
Brunel University Uxbridge;Management
London School of Economics and Political Science;Government
Queen Mary University of London;Global Health Geographies
University College London;Global Health and Development
University Campus Suffolk;Psychology and Youth Studies
University of East Anglia;Politics and Economics
Bournemouth University;Games Programming
University of London;International Business
University of Kent at Canterbury;Law and Business Administration
University of Southampton;History
University of Oxford;Classics
University of Greenwich;Biotechnology
Glasgow Caledonian University;Graphic Design for Digital Media
University College London;Scandinavian Studies and History
University of Bradford;Computer Science
University of York;English Literary Studies
Manchester Metropolitan University;Humanities and Social Sciences
Cardiff University;Science, Media and Communication
University of Kent at Canterbury;Economics (Research)
University of Essex;History and Economics
University of Essex;European Studies with Italian
Imperial College London;Biochemistry with Research Abroad
University of Essex;Accounting with Economics
University of Reading;Design and Management of Sustainable Built Environments
University of Greenwich;Politics and International Relations Hons
University of York;Romantic and Sentimental Literature 1770-1830
The Queen's University Belfast;Food Quality, Safety and Nutrition
London School of Economics and Political Science;Economics and Economic History
University of Essex;Latin American Studies with Human Rights
University of Kent at Canterbury;Social Policy and Sociology
University of Essex;English Language and History
Brunel University Uxbridge;Composition
University of Dundee;Psychology
Imperial College London;Physics
University of Oxford;Higher Education
University of Surrey;Systems Biology
University of Birmingham;Electronic, Electrical and Computing Engineering
Brunel University Uxbridge;Aviation Engineering with Pilot Studies
University of Oxford;Statistics
University of Birmingham;Applied Educational and Child Psychology
Brunel University Uxbridge;Mathematics and Statistics with Management
University of Birmingham;Economics
The University of Buckingham;Business Enterprise
Brunel University Uxbridge;Communication Networks Engineering
University College London;Cognitive Neuroscience
University of Manchester;Management and Implementation of Development Projects
University of Oxford;Ion Channels and Disease
University of East Anglia;History
University of Kent at Canterbury;French and Philosophy
University of Greenwich;Nursing (Pre-Registration) — Child Nursing
University of East Anglia;History
Imperial College London;Chemistry with a Year in Industry
The Queen's University Belfast;Education
University of Southampton;Archaeology
University of Kent at Canterbury;Music, English and American Literature
University of Birmingham;Ancient History
University of Glasgow;Sociology
University of Essex;Economics with Italian (including Year Abroad)
The Queen's University Belfast;Geography
University College London;Architecture
University of Oxford;English and Modern Languages
Sheffield Hallam University;Design (Metalwork and Jewellery)
University of Nottingham;Teaching English for Academic Purposes
University of East Anglia;American Literature with Creative Writing
University of Oxford;Civil Law
Coventry University;Sport and Exercise Science
University of Leeds;Medical Sciences
Imperial College London;Biotechnology
University of Essex;Economics with French (including Year Abroad)
University of Reading;Politics and International Relations
University College London;Digital Media Culture and Education
Metropolitan University;Jewellery
University of Dundee;Economics with German
University of Birmingham;Archaeology and Anthropology
Bournemouth University;Accounting and Finance
University of Kent at Canterbury;Hispanic Studies and History and Philosophy of Art
University of Essex;French Studies and Modern Languages
University of Oxford;History Ancient and Modern
University College London;Conservation
Loughborough University;Textiles: Innovation and Designed
Coventry University;Media Production
University of Essex;History and Modern Languages
University of Essex;Art History (Including Year Abroad)
University College London;Chemistry
University of Dundee;International Business with German
University of Essex;Economics with Spanish
Glasgow Caledonian University;Engineering, Computing or Creative Industries
University of Oxford;Medicine
University of Exeter;Anthrozoology
London School of Economics and Political Science;Management and Strategy
University of Essex;Economics with French
University of York;Mathematics
University College London;Human-Computer Interaction
University of Oxford;English and American Studies
University of Oxford;Organic Chemistry
University of York;Digital Film and Television Production
Coventry University;Mathematics
University of Essex;Acting and Stage Combat
University of Manchester;Chemical Engineering
University of Sussex;MBA
University of Bradford;International Commercial Law
University College London;Mental Health Sciences Research
University of Chester;Professional Studies in Health and Social Care
University of Kent at Canterbury;German and Computing
University of Essex;English Language (including Year Abroad)
Loughborough University;Economics
University of Kent at Canterbury;German, English and American Literature
University of Kent at Canterbury;Art History and French
Queen Mary University of London;Media and Arts Technology
University of Reading;Samuel Beckett: Archive, Text and Performance
University College London;Czech with Slovak and East European Studies
Online Business School;IT and E-commerce, University 1st and 2nd Year (Level 4 and 5)
University of Nottingham;Occupational Psychology
University of Sunderland;Childhood Studies
London School of Economics and Political Science;Organisational and Social Psychology
Royal Holloway and Bedford New College;Petroleum Geoscience
Sheffield Hallam University;Architecture 
University of Dundee;Computing Science
University of Sussex;Human Rights
School of Oriental and African Studies;Economics with reference to South Asia
University of Exeter;Sustainable Development
University of Sunderland;Public Health
University of Essex;English Literature
Imperial College London;Biological Sciences with Research Abroad
School of Oriental and African Studies;Chinese Law
University of Manchester;Law and Development
University of Kent at Canterbury;Digital Arts with a Year in Industry
University of Edinburgh;High Performance Computing
University of Sunderland;Games Software Development
University of Kent at Canterbury;Comparative Literature and History
University of Edinburgh;Nuclear Physics
University of Oxford;Learning and Teaching
The Queen's University Belfast;Business Economics
University of Essex;Computing and Mathematics
London School of Economics and Political Science;Regional and Urban Planning Studies
The Robert Gordon University;Human Resources Management
Coventry University;Business, Economics, Finance and Management
The University of Buckingham;Accounting with French
University of Southampton;Twentieth- and Twenty-First-Century Literature
University of Greenwich;History and Politics Hons
University of Sussex;Music
Metropolitan University;Sports Nutrition
University of Stirling;International Sports Business
The Queen's University Belfast;Human Biology
University of York;Field Archaeology
Metropolitan University;Education Studies
Bournemouth University;Economics
University of Birmingham;International Relations with German
The Queen's University Belfast;Irish Studies
University of Sunderland;Business, Economics, Finance and Management (International Year 1)
University of Kent at Canterbury;Multimedia Technology and Design
University of Greenwich;Computer Systems and Networking
London Academy of Trading;Advanced Trading Course
University of Essex;International Economics with a foundation year
University of Edinburgh;Paediatric Emergency Medicine
University of Greenwich;Electrical Engineering Hons
University of East Anglia;Society, Culture and Media
University of Northumbria at Newcastle;Business with Entrepreneurship
Bangor University;Management
The University of Buckingham;Business and Management with French
The Queen's University Belfast;Computer Games Development (Sandwich) 
The University of Buckingham;Law with Spanish
University of Cambridge;Asian and Middle Eastern Studies
Cardiff University;Political Communication
Coventry University;Geography and Natural Hazards
University College London;Slovak ith Czech and East European Studies
The Queen's University Belfast;Nanostructured Media
Bournemouth University;Child Health Nursing (Advanced Standing)
Middlesex University;Fashion Communication and Styling
University of Southampton;Language Learning
The University of Buckingham;Journalism with Communication Studies
The University of Buckingham;History with Journalism
University of Birmingham;International Relations with French
Coventry University;Art, Design and Media
London School of Economics and Political Science;Management
Middlesex University;Strength and Conditioning
Coventry University;Product Design
University of Essex;Acting
Bournemouth University;Events Management
University of Essex;Applied Social and Economic Research
Glasgow Caledonian University;Audio Technology with Electronics
University of Kent at Canterbury;Social Sciences
The University of Buckingham;Law with Business Finance
Imperial College London;Geophysics
University of Greenwich;Business
University of Greenwich;Computer Networking
Brunel University Uxbridge;Computer Systems Engineering (Software)
University of Greenwich;Computing with Games Development
University Campus Suffolk;Photography
University of Dundee;English and Psychology
Cardiff University;Implantology
University of Essex;Mathematics for Secondary Teaching
University of Kent at Canterbury;Music Technology
University of Leicester;Archaeology and Ancient History
Coventry University;Computer Hardware and Software Engineering
University of Greenwich;Landscape Architecture
University of Dundee;American Studies and History
University of Oxford;Ecological Survey Techniques
University of Bradford;Peace, Resilience and Social Justice
University of Southampton;Modern History and Politics
University of Cambridge;Asian and Middle Eastern Studies — Arabic Studies
University of Leeds;Audiences, Engagement, Participation
University of Essex;Financial Econometrics
University of Nottingham;Post-conflict Cultures
Brunel University Uxbridge;Physical Education and Youth Sport
University of Dundee;European Studies and Psychology
Loughborough University;Mechanical Engineering
University of Glasgow;Learning and Teaching in Higher Education
University of Essex;Economics with German
University of Kent at Canterbury;Computer Science (Artificial Intelligence)
University College London;Biological Physics
University of Birmingham;German Studies
University of Cambridge;Primary Care Research
University of Essex;Economics with Portuguese (including Year Abroad)
University of East Anglia;Intercultural Communication with Business Management
Glasgow Caledonian University;Environmental Management
University of Kent at Canterbury;History and Philosophy
University College London;Cancer
University of Essex;Telecommunication Engineering (including foundation year)
University of Dundee;Biological Sciences
University Campus Suffolk;Childrens Care, Learning and Development (Progression Route)
